id;amount_of_cart_net;amount_of_cart_gross;amount_of_shipment_net;amount_of_shipment_gross;amount_of_order_net;amount_of_order_gross
1;1740;76131;28218;66986;666;6441
2;80961;56612;26855;62035;13761;51129
3;69752;47083;74120;88896;89857;18262
4;84718;79509;12022;68313;60962;24132
5;58043;71571;51689;59172;62726;71251
6;84490;67056;58699;87361;10625;83348
7;68226;59021;67045;12140;16707;86426
8;39015;88541;68652;64493;47145;56570
9;61034;37048;63226;55748;16352;69568
10;59977;58482;67562;71205;9498;27145
